gene_id;SHSY5Y_b (SRR4098610);A431_a (SRR629557);U-251 MG_a (SRR629561);U-251 MG_b (SRR629562);U2OS_a (SRR629563);A-549_a (SRR629564);A-549_b (SRR629565);CACO-2_a (SRR629566);CACO-2_b (SRR629568);HEK 293_b (SRR629570);Hep-G2_a (SRR629573);MCF-7_a (SRR629577);MCF-7_b (SRR629578);PC3_a (SRR629581);gene_name;gene_chr;gene_start;gene_end;gene_strand;gene_length;gene_biotype;description
ENSG00000187554;11;240;84;19;5;0;28;0;0;14;0;24;16;0;TLR5;NC_000001.11;223108401;223143282;-;34882;protein_coding;"toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]"
ENSG00000110436;28;0;0;3;0;3;14;9;15;6;234;47;75;3;SLC1A2;NC_000011.10;35251205;35420063;-;168859;protein_coding;"solute carrier family 1 member 2 [Source:HGNC Symbol;Acc:HGNC:10940]"
ENSG00000125510;179;10;8;0;0;39;36;15;20;0;25;8;24;72;OPRL1;NC_000020.11;NT_187624.1;64080082;2723;64100643;5589;+;+;23429;protein_coding;"opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155]"
ENSG00000258701;62;47;67;12;11;12;17;10;32;6;12;49;54;45;LINC00638;NC_000014.9;104821201;104823718;+;2518;lncRNA;"VEGFC mRNA stability associated lncRNA [Source:HGNC Symbol;Acc:HGNC:28325]"
ENSG00000196345;381;0;2;0;8;0;0;0;0;2;42;0;0;0;ZKSCAN7;NC_000003.12;NW_009646197.1;44555175;80529;44583464;108818;+;+;56580;protein_coding;"zinc finger with KRAB and SCAN domains 7 [Source:HGNC Symbol;Acc:HGNC:12955]"
ENSG00000169918;264;0;26;8;9;9;0;9;12;66;0;11;13;4;OTUD7A;NC_000015.10;NW_011332701.1;NT_187660.1;31475398;3648775;3761227;31870672;4043359;4155811;-;-;-;1184445;protein_coding;"OTU deubiquitinase 7A [Source:HGNC Symbol;Acc:HGNC:20718]"
ENSG00000227214;20;94;50;20;65;27;19;21;24;30;5;16;26;9;HCG15;NC_000006.12;NT_167244.2;NT_113891.3;NT_167245.2;NT_167246.2;NT_167248.2;NT_167249.2;28984749;250334;471222;250352;250308;250327;294205;28988567;254191;475040;254170;254126;254145;298026;+;+;+;+;+;+;+;26775;lncRNA;"HLA complex group 15 [Source:HGNC Symbol;Acc:HGNC:18361]"
ENSG00000189420;110;0;0;0;140;54;43;24;42;6;0;0;0;0;ZFP92;NC_000023.11;153411461;153426481;+;15021;protein_coding;"ZFP92 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12865]"
ENSG00000164841;15;0;24;9;60;8;8;14;9;161;0;0;0;110;TMEM74;NC_000008.11;108606850;108787615;-;180766;protein_coding;"transmembrane protein 74 [Source:HGNC Symbol;Acc:HGNC:26409]"
ENSG00000102385;68;19;86;27;45;51;55;6;3;25;3;5;6;11;DRP2;NC_000023.11;101219786;101264497;+;44712;protein_coding;"dystrophin related protein 2 [Source:HGNC Symbol;Acc:HGNC:3032]"
ENSG00000234807;0;137;18;5;27;3;0;18;7;0;10;47;114;12;LOC101926907;NC_000001.11;58808920;58816042;+;7123;lncRNA;"JUN divergent transcript [Source:HGNC Symbol;Acc:HGNC:49450]"
ENSG00000182459;5;15;9;3;19;5;10;52;60;95;33;28;44;8;TEX19;NC_000017.11;82359247;82363776;+;4530;protein_coding;"testis expressed 19 [Source:HGNC Symbol;Acc:HGNC:33802]"
ENSG00000177692;58;52;12;4;26;6;12;42;36;42;34;6;28;26;DNAJC28;NC_000021.9;NW_003315970.2;33488055;92184;33491723;95853;-;-;7339;protein_coding;"DnaJ heat shock protein family (Hsp40) member C28 [Source:HGNC Symbol;Acc:HGNC:1297]"
ENSG00000186496;128;19;0;7;15;9;36;4;6;24;8;23;96;9;ZNF396;NC_000018.10;35366697;35377337;-;10641;protein_coding;"zinc finger protein 396 [Source:HGNC Symbol;Acc:HGNC:18824]"
ENSG00000100302;22;18;22;34;46;89;77;8;0;28;0;6;15;12;RASD2;NC_000022.11;35540501;35554003;+;13503;protein_coding;"RASD family member 2 [Source:HGNC Symbol;Acc:HGNC:18229]"
ENSG00000178171;203;0;0;0;0;0;0;67;101;3;3;0;0;0;AMER3;NC_000002.12;130754475;130768134;+;13660;protein_coding;"APC membrane recruitment protein 3 [Source:HGNC Symbol;Acc:HGNC:26771]"
ENSG00000166664;165;0;0;0;45;17;22;0;0;68;47;2;6;4;CHRFAM7A;NC_000015.10;NW_011332701.1;NT_187660.1;30360566;2533730;2646214;30393849;2566055;2678539;-;-;-;97936;protein_coding;"CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion [Source:HGNC Symbol;Acc:HGNC:15781]"
ENSG00000119508;57;24;24;0;55;9;8;10;11;25;3;36;44;61;NR4A3;NC_000009.12;99821855;99866893;+;45039;protein_coding;"nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]"
ENSG00000159173;0;139;3;0;0;0;0;15;24;0;55;69;55;6;TNNI1;NC_000001.11;201403767;201421746;-;17980;protein_coding;"troponin I1
ENSG00000187908;133;16;102;43;32;18;15;0;5;0;0;0;0;0;DMBT1;NC_000010.11;122560665;122643736;+;83072;protein_coding;"deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]"
ENSG00000115896;169;3;30;6;0;0;3;0;5;83;0;31;31;0;PLCL1;NC_000002.12;197804702;198149884;+;345183;protein_coding;"phospholipase C like 1 (inactive) [Source:HGNC Symbol;Acc:HGNC:9063]"
ENSG00000163810;231;28;14;0;26;0;0;0;0;0;25;0;0;33;TGM4;NC_000003.12;NW_009646197.1;44874606;399956;44914601;439946;+;+;79987;protein_coding;"transglutaminase 4 [Source:HGNC Symbol;Acc:HGNC:11780]"
ENSG00000176293;9;0;0;0;54;0;0;0;0;293;0;0;0;0;ZNF135;NC_000019.10;58059227;58069755;+;10529;protein_coding;"zinc finger protein 135 [Source:HGNC Symbol;Acc:HGNC:12919]"
ENSG00000172061;3;3;18;0;167;3;0;37;33;0;0;41;42;8;LRRC15;NC_000003.12;194355247;194369743;-;14497;protein_coding;"leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]"
ENSG00000109927;220;9;46;7;15;7;3;16;7;14;0;0;0;9;TECTA;NC_000011.10;121102666;121190806;+;88141;protein_coding;"tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]"
ENSG00000263327;54;31;34;8;0;13;32;17;23;11;21;25;22;62;TAPT1-AS1;NC_000004.12;16226663;16258187;+;31525;lncRNA;"TAPT1 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:26832]"
ENSG00000181072;338;0;0;0;1;0;0;0;0;0;0;0;0;12;CHRM2;NC_000007.14;136868637;137020255;+;151619;protein_coding;"cholinergic receptor muscarinic 2 [Source:HGNC Symbol;Acc:HGNC:1951]"
ENSG00000280165;172;0;82;13;0;0;0;0;0;42;0;0;0;40;PCDH20;NC_000013.11;61409685;61415522;-;5838;protein_coding;"protocadherin 20 [Source:HGNC Symbol;Acc:HGNC:14257]"
ENSG00000234390;15;5;12;0;26;19;32;37;30;42;41;32;18;33;USP27X-AS1;NC_000023.11;49876724;49879356;-;2633;lncRNA;"USP27X divergent transcript [Source:HGNC Symbol;Acc:HGNC:27249]"
ENSG00000138741;5;0;171;48;31;0;0;0;0;68;0;0;0;17;TRPC3;NC_000004.12;121875980;121952060;-;76081;protein_coding;"transient receptor potential cation channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:12335]"
ENSG00000135604;0;55;58;13;86;6;8;6;12;39;0;14;12;29;STX11;NC_000006.12;144140044;144191939;+;51896;protein_coding;"syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]"
ENSG00000119698;0;58;16;9;60;0;0;3;9;20;42;24;31;65;PPP4R4;NC_000014.9;NT_187601.1;94174312;1288874;94279735;1394297;+;+;210848;protein_coding;"protein phosphatase 4 regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:23788]"
ENSG00000144460;275;0;0;3;28;16;5;0;3;0;0;3;0;3;NYAP2;NC_000002.12;225399710;225703653;+;303944;protein_coding;"neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2 [Source:HGNC Symbol;Acc:HGNC:29291]"
ENSG00000188959;9;0;0;3;4;51;30;6;9;0;65;68;74;13;C9orf152;NC_000009.12;110199561;110208133;-;8573;protein_coding;"chromosome 9 open reading frame 152 [Source:HGNC Symbol;Acc:HGNC:31455]"
ENSG00000213057;25;23;22;8;10;8;15;42;41;18;43;19;15;40;C1orf220;NC_000001.11;178542796;178548889;+;6094;lncRNA;"chromosome 1 putative open reading frame 220 [Source:HGNC Symbol;Acc:HGNC:33805]"
ENSG00000271079;0;239;2;0;2;1;0;13;15;0;1;19;31;5;CTAGE15;NC_000007.14;NW_018654714.1;143571801;191165;143574387;193751;+;+;5174;protein_coding;"CTAGE family member 15 [Source:HGNC Symbol;Acc:HGNC:37295]"
ENSG00000275793;4;17;28;7;22;51;61;4;1;33;29;28;30;13;RIMBP3;NC_000022.11;18606124;18611919;-;5796;protein_coding;"RIMS binding protein 3 [Source:HGNC Symbol;Acc:HGNC:29344]"
ENSG00000204103;91;0;2;4;16;0;3;10;38;61;10;32;58;0;MAFB;NC_000020.11;40685848;40689240;-;3393;protein_coding;"MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]"
ENSG00000154451;0;0;272;47;0;0;0;0;0;3;0;0;0;0;GBP5;NC_000001.11;89258950;89272861;-;13912;protein_coding;"guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]"
ENSG00000171303;197;4;18;10;11;25;27;6;20;0;0;0;3;0;KCNK3;NC_000002.12;26692713;26733420;+;40708;protein_coding;"potassium two pore domain channel subfamily K member 3 [Source:HGNC Symbol;Acc:HGNC:6278]"
ENSG00000171873;0;0;123;31;0;41;46;8;18;0;40;0;0;13;ADRA1D;NC_000020.11;4220631;4249012;-;28382;protein_coding;"adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]"
ENSG00000286733;136;13;0;0;0;0;0;0;8;91;62;3;0;0;LINC02348;NC_000015.10;101602786;101614339;-;11554;lncRNA;"long intergenic non-protein coding RNA 2348 [Source:HGNC Symbol;Acc:HGNC:53270]"
ENSG00000165323;22;0;185;30;13;11;16;0;0;34;0;0;0;0;FAT3;NC_000011.10;NW_013171808.1;92224636;123862;92896473;157427;+;+;705404;protein_coding;"FAT atypical cadherin 3 [Source:HGNC Symbol;Acc:HGNC:23112]"
ENSG00000204642;4;83;47;46;10;6;12;3;5;28;0;17;34;16;HLA-F;NC_000006.12;NT_113891.3;NT_167245.2;NT_167246.2;NT_167247.2;NT_167248.2;NT_167249.2;29723340;1207200;986414;986002;986066;986380;1029599;29740355;1211152;990372;989960;988296;990338;1033525;+;+;+;+;+;+;+;39004;protein_coding;"major histocompatibility complex
ENSG00000205363;17;0;7;0;60;10;0;0;3;163;0;7;43;0;C15orf59;NC_000015.10;73735431;73753170;-;17740;protein_coding;"inhibitory synaptic factor 1 [Source:HGNC Symbol;Acc:HGNC:33753]"
ENSG00000165168;0;156;30;26;5;11;6;0;0;29;0;0;12;34;CYBB;NC_000023.11;37780017;37813461;+;33445;protein_coding;"cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]"
ENSG00000198835;42;6;72;15;27;6;9;8;7;21;30;11;14;39;GJC2;NC_000001.11;228149714;228159826;+;10113;protein_coding;"gap junction protein gamma 2 [Source:HGNC Symbol;Acc:HGNC:17494]"
ENSG00000229214;4;5;8;12;17;7;4;74;104;7;53;4;4;4;LINC00242;NC_000006.12;NT_187552.1;169788790;63992;169798825;74027;-;-;20072;lncRNA;"long intergenic non-protein coding RNA 242 [Source:HGNC Symbol;Acc:HGNC:21249]"
ENSG00000183307;182;15;7;2;8;3;3;10;3;62;0;2;6;3;TMEM121B;NC_000022.11;17116299;17121367;-;5069;protein_coding;"transmembrane protein 121B [Source:HGNC Symbol;Acc:HGNC:1844]"
ENSG00000151882;5;55;3;3;34;0;0;59;79;0;0;0;0;67;CCL28;NC_000005.10;43356972;43412391;-;55420;protein_coding;"C-C motif chemokine ligand 28 [Source:HGNC Symbol;Acc:HGNC:17700]"
ENSG00000261794;83;6;20;9;15;38;29;0;2;61;0;8;15;18;GOLGA8H;NC_000015.10;NW_011332701.1;NW_012132920.1;NT_187660.1;30604030;2776519;1910737;2888971;30617827;2790316;1922029;2902768;+;+;-;+;52687;protein_coding;"golgin A8 family member H [Source:HGNC Symbol;Acc:HGNC:37443]"
ENSG00000204396;7;38;19;0;15;26;43;31;52;4;26;14;16;6;VWA7;NC_000006.12;NT_167244.2;NT_113891.3;NT_167245.2;NT_167247.2;NT_167249.2;31764135;3098206;3242852;3013368;3107483;3064886;31777331;3109942;3254573;3025105;3119220;3076622;-;-;-;-;-;-;71869;protein_coding;"von Willebrand factor A domain containing 7 [Source:HGNC Symbol;Acc:HGNC:13939]"
ENSG00000185272;0;5;0;0;42;0;0;13;18;126;0;45;43;3;RBM11;NC_000021.9;14216107;14228372;+;12266;protein_coding;"RNA binding motif protein 11 [Source:HGNC Symbol;Acc:HGNC:9897]"
ENSG00000114757;89;3;107;32;14;0;0;0;10;12;6;3;6;11;PEX5L;NC_000003.12;179794958;180037053;-;242096;protein_coding;"peroxisomal biogenesis factor 5 like [Source:HGNC Symbol;Acc:HGNC:30024]"
ENSG00000204539;0;177;11;5;36;6;2;7;21;0;0;3;11;13;CDSN;NC_000006.12;NT_113891.3;NT_167245.2;NT_167246.2;NT_167247.2;NT_167248.2;31115088;2597463;2374452;2425602;2459205;2373087;31120475;2602851;2379835;2430985;2464588;2378477;-;-;-;-;-;-;32320;protein_coding;"corneodesmosin [Source:HGNC Symbol;Acc:HGNC:1802]"
ENSG00000169856;0;4;17;12;31;10;15;5;10;0;56;43;78;8;ONECUT1;NC_000015.10;52755053;52790264;-;35212;protein_coding;"one cut homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8138]"
ENSG00000273148;27;34;18;3;5;20;18;3;6;48;28;25;22;29;LOC100270804;NC_000020.11;18794049;18796065;+;2017;lncRNA;"lysosome cell death regulator [Source:HGNC Symbol;Acc:HGNC:44308]"
ENSG00000204428;25;25;0;0;13;15;18;0;10;0;0;52;74;50;LY6G5C;NC_000006.12;NT_113891.3;NT_167245.2;NT_167246.2;NT_167247.2;NT_167248.2;NT_167249.2;31676684;3153975;2924456;2981731;3018556;2932508;2975968;31680373;3157664;2928146;2985421;3022245;2936198;2979658;-;-;-;-;-;-;-;25834;protein_coding;"lymphocyte antigen 6 family member G5C [Source:HGNC Symbol;Acc:HGNC:13932]"
ENSG00000283078;37;20;15;0;27;0;11;19;27;7;52;15;33;17;LOC105372705;NC_000020.11;62066435;62068437;+;2003;lncRNA;"novel transcript"
ENSG00000179071;38;0;128;55;2;0;3;7;3;28;0;4;11;0;CCDC89;NC_000011.10;85683844;85686277;-;2434;protein_coding;"coiled-coil domain containing 89 [Source:HGNC Symbol;Acc:HGNC:26762]"
ENSG00000204060;27;27;0;0;52;5;3;4;0;37;0;53;61;10;FOXO6;NC_000001.11;NW_009646194.1;41361931;111604;41383591;133487;+;+;43545;protein_coding;"forkhead box O6 [Source:HGNC Symbol;Acc:HGNC:24814]"
ENSG00000284713;71;8;6;7;7;0;0;34;42;15;30;25;18;16;LOC107984345;NC_000011.10;69134755;69162440;+;27686;lncRNA;"small integral membrane protein 38 [Source:HGNC Symbol;Acc:HGNC:54074]"
ENSG00000170122;26;26;35;18;8;4;9;23;13;42;6;12;20;35;FOXD4;NC_000009.12;116231;118417;-;2187;protein_coding;"forkhead box D4 [Source:HGNC Symbol;Acc:HGNC:3805]"
ENSG00000227507;0;261;0;0;0;0;0;6;6;0;0;4;0;0;LTB;NC_000006.12;NT_167244.2;NT_113891.3;NT_167245.2;NT_167246.2;NT_167247.2;NT_167248.2;NT_167249.2;31580558;2913137;3057845;2828291;2885599;2922456;2836379;2879838;31582425;2915004;3059712;2830158;2887466;2924323;2838246;2881705;-;-;-;-;-;-;-;-;14944;protein_coding;"lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]"
ENSG00000205085;15;19;64;34;4;22;20;0;16;16;9;15;12;28;FAM71F2;NC_000007.14;128671628;128702262;+;30635;protein_coding;"golgi associated RAB2 interactor 1A [Source:HGNC Symbol;Acc:HGNC:27998]"
ENSG00000277182;45;25;29;11;15;18;12;2;14;23;23;12;27;14;LOC100287808;NC_000017.11;NT_187614.1;38749034;2784353;38751752;2787071;+;+;5438;lncRNA;"novel transcript
ENSG00000010310;72;53;10;8;0;15;20;14;21;15;9;7;15;10;GIPR;NC_000019.10;45668187;45683724;+;15538;protein_coding;"gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]"
ENSG00000204613;0;0;0;0;0;0;0;72;102;4;90;0;0;0;TRIM10;NC_000006.12;NT_167244.2;NT_113891.3;NT_167245.2;NT_167246.2;NT_167247.2;NT_167248.2;NT_167249.2;30151939;1410041;1631753;1407862;1462667;1496020;1407074;1450870;30163216;1419029;1640740;1416850;1471655;1505011;1416062;1459861;-;-;-;-;-;-;-;-;74206;protein_coding;"tripartite motif containing 10 [Source:HGNC Symbol;Acc:HGNC:10072]"
ENSG00000131379;36;12;19;8;15;11;37;7;7;30;6;15;9;54;C3orf20;NC_000003.12;14673470;14773036;+;99567;protein_coding;"chromosome 3 open reading frame 20 [Source:HGNC Symbol;Acc:HGNC:25320]"
ENSG00000142700;151;0;0;0;0;0;3;37;65;10;0;0;0;0;DMRTA2;NC_000001.11;50417550;50423447;-;5898;protein_coding;"DMRT like family A2 [Source:HGNC Symbol;Acc:HGNC:13908]"
ENSG00000179292;109;0;10;0;17;26;16;38;32;0;5;0;12;0;TMEM151A;NC_000011.10;66291902;66296664;+;4763;protein_coding;"transmembrane protein 151A [Source:HGNC Symbol;Acc:HGNC:28497]"
ENSG00000178033;0;0;56;20;71;0;0;23;47;41;0;0;0;0;CALHM5;NC_000006.12;116511645;116524792;+;13148;protein_coding;"calcium homeostasis modulator family member 5 [Source:HGNC Symbol;Acc:HGNC:21568]"
ENSG00000185811;163;13;38;4;36;0;0;0;0;3;0;0;0;0;IKZF1;NC_000007.14;50303453;50405101;+;101649;protein_coding;"IKAROS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13176]"
ENSG00000095303;74;51;13;7;16;24;13;3;0;4;0;0;3;41;PTGS1;NC_000009.12;122369906;122395703;+;25798;protein_coding;"prostaglandin-endoperoxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:9604]"
